"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","8445","fullscreen","0","null","9458","pqsy7tr26s1","","","","","","","","","","","","","","","","","","",""
"","336618","external-html","1","2.1.0","346283","pqsy7tr26s1","consent.html","","","","","","","","","","","","","","","","","",""
"","24071","html-button-response","2","2.1.0","370357","pqsy7tr26s1","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","52275","survey","3","2.1.0","422689","pqsy7tr26s1","","","{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""R&B / Soul"",""K-Pop / J-Pop"",""Pop""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":4}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","425692","pqsy7tr26s1","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","8688","html-button-response","5","2.1.0","434382","pqsy7tr26s1","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","444385","pqsy7tr26s1","","<p>Starting trial with chill instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","444888","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","445892","pqsy7tr26s1","","<p style=""font-size: 32px;"">tree</p>","null","instrumental","word","tree","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","446395","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","447397","pqsy7tr26s1","","<p style=""font-size: 32px;"">window</p>","null","instrumental","word","window","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","447901","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","448904","pqsy7tr26s1","","<p style=""font-size: 32px;"">hill</p>","null","instrumental","word","hill","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","449407","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","450409","pqsy7tr26s1","","<p style=""font-size: 32px;"">star</p>","null","instrumental","word","star","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","450912","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","451915","pqsy7tr26s1","","<p style=""font-size: 32px;"">computer</p>","null","instrumental","word","computer","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","452418","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","453421","pqsy7tr26s1","","<p style=""font-size: 32px;"">train</p>","null","instrumental","word","train","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","453925","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","454928","pqsy7tr26s1","","<p style=""font-size: 32px;"">guitar</p>","null","instrumental","word","guitar","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","455431","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","456435","pqsy7tr26s1","","<p style=""font-size: 32px;"">desert</p>","null","instrumental","word","desert","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","456938","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","457941","pqsy7tr26s1","","<p style=""font-size: 32px;"">cup</p>","null","instrumental","word","cup","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","458443","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","459446","pqsy7tr26s1","","<p style=""font-size: 32px;"">door</p>","null","instrumental","word","door","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","459949","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","28","2.0.0","460952","pqsy7tr26s1","","<p style=""font-size: 32px;"">ceiling</p>","null","instrumental","word","ceiling","","","","","","","","","","","","",""
"","null","html-keyboard-response","29","2.0.0","461455","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","462458","pqsy7tr26s1","","<p style=""font-size: 32px;"">desk</p>","null","instrumental","word","desk","","","","","","","","","","","","",""
"","null","html-keyboard-response","31","2.0.0","462961","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","32","2.0.0","463964","pqsy7tr26s1","","<p style=""font-size: 32px;"">keyboard</p>","null","instrumental","word","keyboard","","","","","","","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","464467","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","34","2.0.0","465470","pqsy7tr26s1","","<p style=""font-size: 32px;"">horizon</p>","null","instrumental","word","horizon","","","","","","","","","","","","",""
"","null","html-keyboard-response","35","2.0.0","465972","pqsy7tr26s1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","466976","pqsy7tr26s1","","<p style=""font-size: 32px;"">stream</p>","null","instrumental","word","stream","","","","","","","","","","","","",""
"","11642","html-button-response","37","2.1.0","478620","pqsy7tr26s1","","<p style=""font-size: 36px;"">14 + 9 = ?</p>","3","math_distractor_instrumental","","","1","14 + 9 = ?","false","","","","","","","","","",""
"","4344","html-button-response","38","2.1.0","482967","pqsy7tr26s1","","<p style=""font-size: 36px;"">15 - 9 = ?</p>","3","math_distractor_instrumental","","","3","15 - 9 = ?","true","","","","","","","","","",""
"","1896","html-button-response","39","2.1.0","484865","pqsy7tr26s1","","<p style=""font-size: 36px;"">8 × 6 = ?</p>","1","math_distractor_instrumental","","","1","8 × 6 = ?","true","","","","","","","","","",""
"","10142","html-button-response","40","2.1.0","495010","pqsy7tr26s1","","<p style=""font-size: 36px;"">32 - 18 = ?</p>","2","math_distractor_instrumental","","","2","32 - 18 = ?","true","","","","","","","","","",""
"","3231","html-button-response","41","2.1.0","498243","pqsy7tr26s1","","<p style=""font-size: 36px;"">18 - 7 = ?</p>","0","math_distractor_instrumental","","","0","18 - 7 = ?","true","","","","","","","","","",""
"","4128","html-button-response","42","2.1.0","502373","pqsy7tr26s1","","<p>Which image is the odd one out?</p>","1","ooo_distractor_instrumental","","","","","false","[""canoe"",""rocket"",""helicopter"",""airplane""]","rocket","","","","","","","",""
"","2541","html-button-response","43","2.1.0","504917","pqsy7tr26s1","","<p>Which image is the odd one out?</p>","0","ooo_distractor_instrumental","","","","","true","[""banana"",""pencil"",""paintbrush"",""crayon""]","banana","","","","","","","",""
"","5115","html-button-response","44","2.1.0","510034","pqsy7tr26s1","","<p>Which image is the odd one out?</p>","0","ooo_distractor_instrumental","","","","","true","[""chick"",""icecream"",""cupcake"",""cake""]","chick","","","","","","","",""
"","4834","html-button-response","45","2.1.0","514871","pqsy7tr26s1","","<p>Which image is the odd one out?</p>","2","ooo_distractor_instrumental","","","","","true","[""yarn"",""needle"",""palette"",""thread""]","palette","","","","","","","",""
"","2287","html-button-response","46","2.1.0","517159","pqsy7tr26s1","","<p>Which image is the odd one out?</p>","3","ooo_distractor_instrumental","","","","","true","[""fish"",""jellyfish"",""dolphin"",""goose""]","goose","","","","","","","",""
"","14143","survey","47","2.1.0","531316","pqsy7tr26s1","","","{""selected_answers"":[""door"",""train"",""hill"",""window"",""computer"",""desk"",""tree"",""ceiling"",""desert""]}","recall_instrumental","","","","","","","","[""stream"",""desk"",""window"",""hill"",""tree"",""desert"",""computer"",""train"",""door"",""ceiling""]","[""sketchpad"",""microscope"",""hourglass"",""tapestry"",""candlewick""]","[""door"",""train"",""hill"",""window"",""computer"",""desk"",""tree"",""ceiling"",""desert""]","[]","0","[""stream""]","0.1","0.9"
